start_node;end_node;type
Lady Lysa Tully/Arryn, Baelish;Lord Robert Arryn;legitimate
Lord Hoster Tully;Lady Catelyn Tully/Stark;legitimate
Lord Hoster Tully;Lady Lysa Tully/Arryn, Baelish;legitimate
Lord Hoster Tully;Lord Edmure Tully;legitimate
Lady Minisa Whent/Tully;Lady Catelyn Tully/Stark;legitimate
Lady Minisa Whent/Tully;Lady Lysa Tully/Arryn, Baelish;legitimate
Lady Minisa Whent/Tully;Lord Edmure Tully;legitimate
Lord Mace Tyrell;Willas Tyrell;legitimate
Lord Mace Tyrell;Lord Garlan Tyrell;legitimate
Lord Mace Tyrell;Ser Loras Tyrell, Knight of Flowers;legitimate
Lord Mace Tyrell;Lady Margaery Tyrell/Baratheon;legitimate
Lady Alerie Hightower/Tyrell;Willas Tyrell;legitimate
Lady Alerie Hightower/Tyrell;Lord Garlan Tyrell;legitimate
Lady Alerie Hightower/Tyrell;Ser Loras Tyrell, Knight of Flowers;legitimate
Lady Alerie Hightower/Tyrell;Lady Margaery Tyrell/Baratheon;legitimate
Lady Olenna Redwyne/Tyrell, Queen of Thorns;Lord Mace Tyrell;legitimate
Lady Olenna Redwyne/Tyrell, Queen of Thorns;Lady Mina Tyrell/Redwyne;legitimate
Lady Olenna Redwyne/Tyrell, Queen of Thorns;Lady Janna Tyrell/Fossoway;legitimate
Lord Luthor Tyrell, Father of Mace;Lord Mace Tyrell;legitimate
Lord Luthor Tyrell, Father of Mace;Lady Mina Tyrell/Redwyne;legitimate
Lord Luthor Tyrell, Father of Mace;Lady Janna Tyrell/Fossoway;legitimate
Lady Mina Tyrell/Redwyne;Ser Horas Redwyne, Horror;legitimate
Lady Mina Tyrell/Redwyne;Ser Hobber Redwyne, Slobber;legitimate
Lady Mina Tyrell/Redwyne;Desmera Redwyne;legitimate
Lord Paxter Redwyne;Ser Horas Redwyne, Horror;legitimate
Lord Paxter Redwyne;Ser Hobber Redwyne, Slobber;legitimate
Lord Paxter Redwyne;Desmera Redwyne;legitimate
Garth Tyrell, The Gross;Garse Flowers;bastard
Garth Tyrell, The Gross;Garrett Flowers;bastard
Ser Moryn Tyrell;Ser Luthor Tyrell, Son of Moryn;legitimate
Ser Moryn Tyrell;Leo Tyrell, Leo the Lazy, Son of Moryn;legitimate
Ser Luthor Tyrell, Son of Moryn;Ser Theodore Tyrell;legitimate
Ser Luthor Tyrell, Son of Moryn;Maester Medwick (Tyrell);legitimate
Ser Luthor Tyrell, Son of Moryn;Olene Tyrell/Blackbar;legitimate
Lady Elyn Norridge/Tyrell;Ser Theodore Tyrell;legitimate
Lady Elyn Norridge/Tyrell;Maester Medwick (Tyrell);legitimate
Lady Elyn Norridge/Tyrell;Olene Tyrell/Blackbar;legitimate
Ser Theodore Tyrell;Luthor Tyrell, Son of Theodore;legitimate
Ser Theodore Tyrell;Elinor Tyrell;legitimate
Lia Serry/Tyrell;Luthor Tyrell, Son of Theodore;legitimate
Lia Serry/Tyrell;Elinor Tyrell;legitimate
Ser Quentin Tyrell;Ser Olymer Tyrell;legitimate
Ser Olymer Tyrell;Raymund Tyrell;legitimate
Ser Olymer Tyrell;Rickard Tyrell;legitimate
Ser Olymer Tyrell;Megga Tyrell;legitimate
Lysa Meadows/Tyrell;Raymund Tyrell;legitimate
Lysa Meadows/Tyrell;Rickard Tyrell;legitimate
Lysa Meadows/Tyrell;Megga Tyrell;legitimate
Ser Victor Tyrell;Lady Victaria Tyrell/Bulwer;legitimate
Ser Victor Tyrell;Ser Leo Tyrell, Son of Victor;legitimate
Lady Victaria Tyrell/Bulwer;Lady Alysanne Bulwer;legitimate
Lord Jon Bulwer;Lady Alysanne Bulwer;legitimate
Ser Leo Tyrell, Son of Victor;Alla Tyrell;legitimate
Ser Leo Tyrell, Son of Victor;Leona Tyrell;legitimate
Ser Leo Tyrell, Son of Victor;Lyonel Tyrell, Son of Leo;legitimate
Ser Leo Tyrell, Son of Victor;Lucas Tyrell;legitimate
Ser Leo Tyrell, Son of Victor;Lorent Tyrell;legitimate
Alys Beesbury/Tyrell;Alla Tyrell;legitimate
Alys Beesbury/Tyrell;Leona Tyrell;legitimate
Alys Beesbury/Tyrell;Lyonel Tyrell, Son of Leo;legitimate
Alys Beesbury/Tyrell;Lucas Tyrell;legitimate
Alys Beesbury/Tyrell;Lorent Tyrell;legitimate
Lord Quellon Greyjoy;Harlon Greyjoy;legitimate
Lord Quellon Greyjoy;Quenton Greyjoy;legitimate
Lord Quellon Greyjoy;Donel Greyjoy;legitimate
Lord Quellon Greyjoy;King Balon IX Greyjoy;legitimate
Lord Quellon Greyjoy;King Euron III Greyjoy, Crow's Eye;legitimate
Lord Quellon Greyjoy;Victarion Greyjoy;legitimate
Lord Quellon Greyjoy;Urrigon Greyjoy, Urri;legitimate
Lord Quellon Greyjoy;Aeron Greyjoy, Damphair;legitimate
Lord Quellon Greyjoy;Robin Greyjoy;legitimate
King Balon IX Greyjoy;Rodrik Greyjoy;legitimate
King Balon IX Greyjoy;Maron Greyjoy;legitimate
King Balon IX Greyjoy;Princess Asha Greyjoy;legitimate
King Balon IX Greyjoy;Prince Theon Greyjoy;legitimate
Lady Alannys Harlaw/Greyjoy;Rodrik Greyjoy;legitimate
Lady Alannys Harlaw/Greyjoy;Maron Greyjoy;legitimate
Lady Alannys Harlaw/Greyjoy;Princess Asha Greyjoy;legitimate
Lady Alannys Harlaw/Greyjoy;Prince Theon Greyjoy;legitimate
Prince Doran Martell;Princess Arianne Martell;legitimate
Prince Doran Martell;Prince Quentyn Martell;legitimate
Prince Doran Martell;Prince Trystane Martell;legitimate
Lady Mellario Martell, of Norvos;Princess Arianne Martell;legitimate
Lady Mellario Martell, of Norvos;Prince Quentyn Martell;legitimate
Lady Mellario Martell, of Norvos;Prince Trystane Martell;legitimate
Prince Oberyn Martell;Obara Sand;bastard
Prince Oberyn Martell;Nymeria Sand, Nym;bastard
Prince Oberyn Martell;Tyene Sand;bastard
Prince Oberyn Martell;Sarella Sand;bastard
Prince Oberyn Martell;Elia Sand;bastard
Prince Oberyn Martell;Obella Sand;bastard
Prince Oberyn Martell;Dorea Sand;bastard
Prince Oberyn Martell;Loreza Sand;bastard
Ellaria Sand;Elia Sand;bastard
Ellaria Sand;Obella Sand;bastard
Ellaria Sand;Dorea Sand;bastard
Ellaria Sand;Loreza Sand;bastard
Lord Aenar Targaryen, Aenar the Exile;Lord Gaemon Targaryen, the Glorious;legitimate
Lord Aenar Targaryen, Aenar the Exile;Lady Daenys Targaryen, the Dreamer;legitimate
Lord Gaemon Targaryen, the Glorious;Lord Aegon Targaryen, son of Gaemon;legitimate
Lord Gaemon Targaryen, the Glorious;Lady Elaena Targaryen, daughter of Gaemon;legitimate
Lady Daenys Targaryen, the Dreamer;Lord Aegon Targaryen, son of Gaemon;legitimate
Lady Daenys Targaryen, the Dreamer;Lady Elaena Targaryen, daughter of Gaemon;legitimate
Lord Aegon Targaryen, son of Gaemon;Lord Maegon Targaryen;legitimate
Lord Aegon Targaryen, son of Gaemon;Lord Aerys Targaryen, son of Aegon;legitimate
Lady Elaena Targaryen, daughter of Gaemon;Lord Maegon Targaryen;legitimate
Lady Elaena Targaryen, daughter of Gaemon;Lord Aerys Targaryen, son of Aegon;legitimate
Lord Aerys Targaryen, son of Aegon;Lord Aelyx Targaryen;legitimate
Lord Aerys Targaryen, son of Aegon;Lord Baelon Targaryen, son of Aegon;legitimate
Lord Aerys Targaryen, son of Aegon;Lord Daemion Targaryen;legitimate
Lord Daemion Targaryen;Lord Aerion Targaryen, son of Daemion;legitimate
Lord Aerion Targaryen, son of Daemion;Queen Visenya Targaryen, Wife of Aegon I;legitimate
Lord Aerion Targaryen, son of Daemion;King Aegon I Targaryen, The Conqueror/The Dragon;legitimate
Lord Aerion Targaryen, son of Daemion;Queen Rhaenys Targaryen, Wife of Aegon I;legitimate
Lady Valaena Velaryon/Targaryen, Baratheon;Queen Visenya Targaryen, Wife of Aegon I;legitimate
Lady Valaena Velaryon/Targaryen, Baratheon;King Aegon I Targaryen, The Conqueror/The Dragon;legitimate
Lady Valaena Velaryon/Targaryen, Baratheon;Queen Rhaenys Targaryen, Wife of Aegon I;legitimate
King Aegon I Targaryen, The Conqueror/The Dragon;King Aenys I Targaryen;legitimate
Queen Rhaenys Targaryen, Wife of Aegon I;King Aenys I Targaryen;legitimate
King Aegon I Targaryen, The Conqueror/The Dragon;King Maegor I Targaryen, The Cruel;legitimate
Queen Visenya Targaryen, Wife of Aegon I;King Maegor I Targaryen, The Cruel;legitimate
King Aenys I Targaryen;Princess Rhaena Targaryen, The Black Bride;legitimate
King Aenys I Targaryen;Prince Aegon Targaryen, son of Aenys I;legitimate
King Aenys I Targaryen;King Jaehaerys I Targaryen;legitimate
King Aenys I Targaryen;Queen Alysanne Targaryen        ;legitimate
King Aenys I Targaryen;Prince Viserys Targaryen, son of Aenys I;legitimate
King Aenys I Targaryen;Princess Vaella Targaryen, daughter of Aenys I;legitimate
Queen Alyssa Velaryon;Princess Rhaena Targaryen, The Black Bride;legitimate
Queen Alyssa Velaryon;Prince Aegon Targaryen, son of Aenys I;legitimate
Queen Alyssa Velaryon;King Jaehaerys I Targaryen;legitimate
Queen Alyssa Velaryon;Queen Alysanne Targaryen        ;legitimate
Queen Alyssa Velaryon;Prince Viserys Targaryen, son of Aenys I;legitimate
Queen Alyssa Velaryon;Princess Vaella Targaryen, daughter of Aenys I;legitimate
Princess Rhaena Targaryen, The Black Bride;Princess Aerea Targaryen;legitimate
Princess Rhaena Targaryen, The Black Bride;Princess Rhalla Targaryen;legitimate
Prince Aegon Targaryen, son of Aenys I;Princess Aerea Targaryen;legitimate
Prince Aegon Targaryen, son of Aenys I;Princess Rhalla Targaryen;legitimate
King Jaehaerys I Targaryen;Prince Aemon Targaryen, son of Jaehaerys I;legitimate
King Jaehaerys I Targaryen;Prince Baelon Targaryen, the Brave;legitimate
King Jaehaerys I Targaryen;Princess Alyssa Targaryen;legitimate
King Jaehaerys I Targaryen;Archmaester Vaegon (Targaryen);legitimate
King Jaehaerys I Targaryen;Septa Maegelle (Targaryen);legitimate
King Jaehaerys I Targaryen;Princess Daella Arryn/Targaryen, daughter of Jaehaerys I;legitimate
King Jaehaerys I Targaryen;Princess Saera Targaryen;legitimate
King Jaehaerys I Targaryen;Princess Viserra Targaryen;legitimate
King Jaehaerys I Targaryen;Princess Gael Targaryen;legitimate
Queen Alysanne Targaryen        ;Prince Aemon Targaryen, son of Jaehaerys I;legitimate
Queen Alysanne Targaryen        ;Prince Baelon Targaryen, the Brave;legitimate
Queen Alysanne Targaryen        ;Princess Alyssa Targaryen;legitimate
Queen Alysanne Targaryen        ;Archmaester Vaegon (Targaryen);legitimate
Queen Alysanne Targaryen        ;Septa Maegelle (Targaryen);legitimate
Queen Alysanne Targaryen        ;Princess Daella Arryn/Targaryen, daughter of Jaehaerys I;legitimate
Queen Alysanne Targaryen        ;Princess Saera Targaryen;legitimate
Queen Alysanne Targaryen        ;Princess Viserra Targaryen;legitimate
Queen Alysanne Targaryen        ;Princess Gael Targaryen;legitimate
Prince Aemon Targaryen, son of Jaehaerys I;Princess Rhaenys Targaryen/Velaryon, The Queen Who Never Was;legitimate
Lady Jocelyn Baratheon/Targaryen;Princess Rhaenys Targaryen/Velaryon, The Queen Who Never Was;legitimate
Prince Baelon Targaryen, the Brave;King Viserys I Targaryen;legitimate
Prince Baelon Targaryen, the Brave;Prince Daemon Targaryen;legitimate
Princess Alyssa Targaryen;King Viserys I Targaryen;legitimate
Princess Alyssa Targaryen;Prince Daemon Targaryen;legitimate
Lord Rodrik Arryn;Queen Aemma Arryn;legitimate
Princess Daella Arryn/Targaryen, daughter of Jaehaerys I;Queen Aemma Arryn;legitimate
King Viserys I Targaryen;Princess Rhaenyra Targaryen;legitimate
King Viserys I Targaryen;Prince Baelon Targaryen, Heir for a Day;legitimate
Queen Aemma Arryn;Princess Rhaenyra Targaryen;legitimate
Queen Aemma Arryn;Prince Baelon Targaryen, Heir for a Day;legitimate
King Viserys I Targaryen;King Aegon II Targaryen, The Usurper;legitimate
King Viserys I Targaryen;Queen Helaena Targaryen;legitimate
King Viserys I Targaryen;Prince Aemond Targaryen;legitimate
King Viserys I Targaryen;Prince Daeron Targaryen, the Daring;legitimate
Queen Alicent Hightower/Targaryen;King Aegon II Targaryen, The Usurper;legitimate
Queen Alicent Hightower/Targaryen;Queen Helaena Targaryen;legitimate
Queen Alicent Hightower/Targaryen;Prince Aemond Targaryen;legitimate
Queen Alicent Hightower/Targaryen;Prince Daeron Targaryen, the Daring;legitimate
King Aegon II Targaryen, The Usurper;Prince Jaehaerys Targaryen, Son of Aegon II;legitimate
King Aegon II Targaryen, The Usurper;Queen Jaehaera Targaryen;legitimate
King Aegon II Targaryen, The Usurper;Prince Maelor Targaryen;legitimate
Queen Helaena Targaryen;Prince Jaehaerys Targaryen, Son of Aegon II;legitimate
Queen Helaena Targaryen;Queen Jaehaera Targaryen;legitimate
Queen Helaena Targaryen;Prince Maelor Targaryen;legitimate
Princess Rhaenys Targaryen/Velaryon, The Queen Who Never Was;Lady Laena Velaryon;legitimate
Princess Rhaenys Targaryen/Velaryon, The Queen Who Never Was;Ser Laenor Velaryon;legitimate
Lord Corlys Velaryon;Lady Laena Velaryon;legitimate
Lord Corlys Velaryon;Ser Laenor Velaryon;legitimate
Lord Corlys Velaryon;Ser Addam Velaryon, Of Hull;bastard
Lord Corlys Velaryon;Lord Alyn Velaryon, Oakenfist;bastard
Prince Daemon Targaryen;Princess Baela Targaryen/Velaryon;legitimate
Prince Daemon Targaryen;Princess Rhaena Targaryen/Corbray, Hightower;legitimate
Lady Laena Velaryon;Princess Baela Targaryen/Velaryon;legitimate
Lady Laena Velaryon;Princess Rhaena Targaryen/Corbray, Hightower;legitimate
Ser Laenor Velaryon;Prince Jacaerys Velaryon, Jace;legitimate
Ser Laenor Velaryon;Prince Lucerys Velaryon, Luke;legitimate
Ser Laenor Velaryon;Prince Joffrey Velaryon, Joff;legitimate
Princess Rhaenyra Targaryen;Prince Jacaerys Velaryon, Jace;legitimate
Princess Rhaenyra Targaryen;Prince Lucerys Velaryon, Luke;legitimate
Princess Rhaenyra Targaryen;Prince Joffrey Velaryon, Joff;legitimate
Prince Daemon Targaryen;King Aegon III Targaryen;legitimate
Prince Daemon Targaryen;King Viserys II Targaryen;legitimate
Prince Daemon Targaryen;Princess Visenya Targaryen, Daughter of Rhaenyra;legitimate
Princess Rhaenyra Targaryen;King Aegon III Targaryen;legitimate
Princess Rhaenyra Targaryen;King Viserys II Targaryen;legitimate
Princess Rhaenyra Targaryen;Princess Visenya Targaryen, Daughter of Rhaenyra;legitimate
King Aegon III Targaryen;King Daeron I Targaryen;legitimate
King Aegon III Targaryen;King Baelor I Targaryen, The Blessed;legitimate
King Aegon III Targaryen;Princess Daena Targaryen;legitimate
King Aegon III Targaryen;Princess Rhaena Targaryen, daughter of Aegon III;legitimate
King Aegon III Targaryen;Princess Elaena Targaryen/Plumm/Penrose/Manwoody;legitimate
Queen Daenaera Velaryon;King Daeron I Targaryen;legitimate
Queen Daenaera Velaryon;King Baelor I Targaryen, The Blessed;legitimate
Queen Daenaera Velaryon;Princess Daena Targaryen;legitimate
Queen Daenaera Velaryon;Princess Rhaena Targaryen, daughter of Aegon III;legitimate
Queen Daenaera Velaryon;Princess Elaena Targaryen/Plumm/Penrose/Manwoody;legitimate
King Viserys II Targaryen;King Aegon IV Targaryen;legitimate
King Viserys II Targaryen;Prince Aemon Targaryen, The Dragonknight;legitimate
King Viserys II Targaryen;Queen Naerys Targaryen;legitimate
Lady Larra Rogare, of Lys;King Aegon IV Targaryen;legitimate
Lady Larra Rogare, of Lys;Prince Aemon Targaryen, The Dragonknight;legitimate
Lady Larra Rogare, of Lys;Queen Naerys Targaryen;legitimate
King Aegon IV Targaryen;King Daeron II Targaryen, The Good;legitimate
King Aegon IV Targaryen;Princess Daenerys Targaryen/Martell, daughter of Aegon IV;legitimate
Queen Naerys Targaryen;King Daeron II Targaryen, The Good;legitimate
Queen Naerys Targaryen;Princess Daenerys Targaryen/Martell, daughter of Aegon IV;legitimate
King Aegon IV Targaryen;Daemon I Blackfyre;bastard
Princess Daena Targaryen;Daemon I Blackfyre;bastard
King Aegon IV Targaryen;Ser Aegor Rivers, Bittersteel;bastard
Barbara Bracken;Ser Aegor Rivers, Bittersteel;bastard
King Aegon IV Targaryen;Gwenys Rivers;bastard
King Aegon IV Targaryen;Mya Rivers;bastard
Lady Melissa Blackwood;Gwenys Rivers;bastard
Lady Melissa Blackwood;Mya Rivers;bastard
King Aegon IV Targaryen;"Lord Commander Brynden Rivers, Bloodraven (""The Crow"" in Bran's dreams)";bastard
Lady Melissa Blackwood;"Lord Commander Brynden Rivers, Bloodraven (""The Crow"" in Bran's dreams)";bastard
King Aegon IV Targaryen;Shiera Seastar;bastard
Lady Serenei of Lys;Shiera Seastar;bastard
King Aegon IV Targaryen;Alysanne, daughter of Aegon IV and Megette;bastard
King Aegon IV Targaryen;Lily, daughter of Aegon IV and Megette;bastard
King Aegon IV Targaryen;Willow, daughter of Aegon IV and Megette;bastard
King Aegon IV Targaryen;Rosey, daughter of Aegon IV and Megette;bastard
Megette, of Fairmarket, Merry Meg;Alysanne, daughter of Aegon IV and Megette;bastard
Megette, of Fairmarket, Merry Meg;Lily, daughter of Aegon IV and Megette;bastard
Megette, of Fairmarket, Merry Meg;Willow, daughter of Aegon IV and Megette;bastard
Megette, of Fairmarket, Merry Meg;Rosey, daughter of Aegon IV and Megette;bastard
King Aegon IV Targaryen;Bellonara Otherys, bastard daughter of Aegon IV, The 2nd Black Pearl;bastard
King Aegon IV Targaryen;Balerion Otherys;bastard
King Aegon IV Targaryen;Narha Otherys;bastard
Captain Bellegere Otherys, Aegon IV's mistress, The 1st Black Pearl;Bellonara Otherys, bastard daughter of Aegon IV, The 2nd Black Pearl;bastard
Captain Bellegere Otherys, Aegon IV's mistress, The 1st Black Pearl;Balerion Otherys;bastard
Captain Bellegere Otherys, Aegon IV's mistress, The 1st Black Pearl;Narha Otherys;bastard
King Daeron II Targaryen, The Good;Prince Baelor Targaryen, Breakspear;legitimate
King Daeron II Targaryen, The Good;King Aerys I Targaryen;legitimate
King Daeron II Targaryen, The Good;Prince Rhaegel Targaryen;legitimate
King Daeron II Targaryen, The Good;King Maekar I Targaryen;legitimate
Princess Mariah Martell;Prince Baelor Targaryen, Breakspear;legitimate
Princess Mariah Martell;King Aerys I Targaryen;legitimate
Princess Mariah Martell;Prince Rhaegel Targaryen;legitimate
Princess Mariah Martell;King Maekar I Targaryen;legitimate
Prince Baelor Targaryen, Breakspear;Prince Valarr Targaryen, The Young Prince;legitimate
Prince Baelor Targaryen, Breakspear;Prince Matarys Targaryen, The Even Younger Prince;legitimate
Lady Jena Dondarrion/Targaryen;Prince Valarr Targaryen, The Young Prince;legitimate
Lady Jena Dondarrion/Targaryen;Prince Matarys Targaryen, The Even Younger Prince;legitimate
Prince Rhaegel Targaryen;Princess Aelora Targaryen;legitimate
Prince Rhaegel Targaryen;Prince Aelor Targaryen;legitimate
Prince Rhaegel Targaryen;Princess Daenora Targaryen;legitimate
Lady Alys Arryn/Targaryen, wife of Prince Rhaegel Targaryen;Princess Aelora Targaryen;legitimate
Lady Alys Arryn/Targaryen, wife of Prince Rhaegel Targaryen;Prince Aelor Targaryen;legitimate
Lady Alys Arryn/Targaryen, wife of Prince Rhaegel Targaryen;Princess Daenora Targaryen;legitimate
King Maekar I Targaryen;Prince Daeron Targaryen, The Drunken;legitimate
King Maekar I Targaryen;Prince Aerion Targaryen;legitimate
King Maekar I Targaryen;Maester Aemon (Targaryen);legitimate
King Maekar I Targaryen;Princess Daella Targaryen, Daughter of Maekar I;legitimate
King Maekar I Targaryen;King Aegon V Targaryen;legitimate
King Maekar I Targaryen;Princess Rhae Targaryen;legitimate
Lady Dyanna Dayne/Targaryen;Prince Daeron Targaryen, The Drunken;legitimate
Lady Dyanna Dayne/Targaryen;Prince Aerion Targaryen;legitimate
Lady Dyanna Dayne/Targaryen;Maester Aemon (Targaryen);legitimate
Lady Dyanna Dayne/Targaryen;Princess Daella Targaryen, Daughter of Maekar I;legitimate
Lady Dyanna Dayne/Targaryen;King Aegon V Targaryen;legitimate
Lady Dyanna Dayne/Targaryen;Princess Rhae Targaryen;legitimate
Prince Daeron Targaryen, The Drunken;Princess Vaella Targaryen, daughter of Daeron the Drunken;legitimate
Lady Kiera of Tyrosh;Princess Vaella Targaryen, daughter of Daeron the Drunken;legitimate
Prince Aerion Targaryen;Prince Maegor Targaryen, son of Aerion;legitimate
Princess Daenora Targaryen;Prince Maegor Targaryen, son of Aerion;legitimate
King Aegon V Targaryen;Prince Duncan Targaryen;legitimate
King Aegon V Targaryen;King Jaehaerys II Targaryen;legitimate
King Aegon V Targaryen;Queen Shaera Targaryen;legitimate
King Aegon V Targaryen;Prince Daeron Targaryen, son of Aegon V;legitimate
King Aegon V Targaryen;Princess Rhaelle Targaryen/Baratheon;legitimate
Queen Betha Blackwood/Targaryen;Prince Duncan Targaryen;legitimate
Queen Betha Blackwood/Targaryen;King Jaehaerys II Targaryen;legitimate
Queen Betha Blackwood/Targaryen;Queen Shaera Targaryen;legitimate
Queen Betha Blackwood/Targaryen;Prince Daeron Targaryen, son of Aegon V;legitimate
Queen Betha Blackwood/Targaryen;Princess Rhaelle Targaryen/Baratheon;legitimate
King Jaehaerys II Targaryen;King Aerys II Targaryen, The Mad King;legitimate
King Jaehaerys II Targaryen;Queen Rhaella Targaryen, Wife of Aerys II;legitimate
Queen Shaera Targaryen;King Aerys II Targaryen, The Mad King;legitimate
Queen Shaera Targaryen;Queen Rhaella Targaryen, Wife of Aerys II;legitimate
King Aerys II Targaryen, The Mad King;Prince Rhaegar Targaryen;legitimate
King Aerys II Targaryen, The Mad King;Prince Viserys III Targaryen;legitimate
King Aerys II Targaryen, The Mad King;Queen Daenerys I Targaryen;legitimate
Queen Rhaella Targaryen, Wife of Aerys II;Prince Rhaegar Targaryen;legitimate
Queen Rhaella Targaryen, Wife of Aerys II;Prince Viserys III Targaryen;legitimate
Queen Rhaella Targaryen, Wife of Aerys II;Queen Daenerys I Targaryen;legitimate
Prince Rhaegar Targaryen;Princess Rhaenys Targaryen, daughter of Rhaegar;legitimate
Prince Rhaegar Targaryen;Prince Aegon Targaryen;legitimate
Princess Elia Martell;Princess Rhaenys Targaryen, daughter of Rhaegar;legitimate
Princess Elia Martell;Prince Aegon Targaryen;legitimate
Queen Daenerys I Targaryen;Rhaego;legitimate
Khal Drogo;Rhaego;legitimate
Princess Rhaelle Targaryen/Baratheon;Lord Steffon Baratheon;legitimate
Lord Ormund Baratheon;Lord Steffon Baratheon;legitimate
Lord Steffon Baratheon;King Robert I Baratheon;legitimate
Lord Steffon Baratheon;King Stannis I Baratheon;legitimate
Lord Steffon Baratheon;King Renly I Baratheon;legitimate
Lady Cassana Estremont/Baratheon;King Robert I Baratheon;legitimate
Lady Cassana Estremont/Baratheon;King Stannis I Baratheon;legitimate
Lady Cassana Estremont/Baratheon;King Renly I Baratheon;legitimate
King Stannis I Baratheon;Princess Shireen Baratheon;legitimate
Lady Selyse Florent/Baratheon;Princess Shireen Baratheon;legitimate
Lord Orys Baratheon;Davos Baratheon;legitimate
Lord Orys Baratheon;Ser Raymont Baratheon;legitimate
Princess Argella Durrandon;Davos Baratheon;legitimate
Princess Argella Durrandon;Ser Raymont Baratheon;legitimate
"Lord Rogar Baratheon (both ""Rogar"" and ""Robar"" were used, but it is now confirmed that the final name is Rogar Baratheon)";Lord Boremund Baratheon;legitimate
"Lord Rogar Baratheon (both ""Rogar"" and ""Robar"" were used, but it is now confirmed that the final name is Rogar Baratheon)";Lady Jocelyn Baratheon/Targaryen;legitimate
Queen Alyssa Velaryon;Lord Boremund Baratheon;legitimate
Queen Alyssa Velaryon;Lady Jocelyn Baratheon/Targaryen;legitimate
Lord Boremund Baratheon;Lord Borros Baratheon;legitimate
Lord Jasper Arryn;Alys Arryn/Waynwood;legitimate
Lord Jasper Arryn;Lord Jon Arryn;legitimate
Lord Jasper Arryn;Ser Ronnel Arryn;legitimate
Ser Ronnel Arryn;Ser Elbert Arryn;legitimate
Alys Arryn/Waynwood;Lord Jasper Arryn;legitimate
Ser Elys Waynwood;Lord Jasper Arryn;legitimate
Ser Harrold Hardyng, Harry the Heir;Alys Stone, bastard daughter of Ser Harrold Hardyng;bastard
Cissy;Alys Stone, bastard daughter of Ser Harrold Hardyng;bastard
Lord Benjen Stark, grandfather of Cregan;Lord Rickon Stark, father of Cregan;legitimate
Lord Benjen Stark, grandfather of Cregan;Bennard Stark;legitimate
Lady Lysa Locke/Stark;Lord Rickon Stark, father of Cregan;legitimate
Lady Lysa Locke/Stark;Bennard Stark;legitimate
Lord Rickon Stark, father of Cregan;Lord Cregan Stark;legitimate
Lady Gilliane Glover/Stark;Lord Cregan Stark;legitimate
